gene_name,group
Cat,oxid_stress_response
Cyba,oxid_stress_response
Cyp1a1,oxid_stress_response
Fos,oxid_stress_response
Gabpb1,oxid_stress_response
Gclc,oxid_stress_response
Gpx1,oxid_stress_response
Gpx3,oxid_stress_response
Gsr,oxid_stress_response
Gstt2,oxid_stress_response
Hmox1,oxid_stress_response
Junb,oxid_stress_response
Maoa,oxid_stress_response
Mt1,oxid_stress_response
Nfix,oxid_stress_response
Nfkb1,oxid_stress_response
Nqo1,oxid_stress_response
Sod1,oxid_stress_response
Sod2,oxid_stress_response
Sod3,oxid_stress_response
Sp1,oxid_stress_response
Mapk10,oxid_stress_response
Mapk14,oxid_stress_response
Txnrd2,oxid_stress_response
Ugt1a1,oxid_stress_response
Txnrd1,oxid_stress_response
Txn2,oxid_stress_response
Mgst1,oxid_stress_response